time_s,standard_frequency_hz,transient_frequency_hz,standard_power_pu,transient_power_pu,standard_gate_pu,transient_gate_pu
0.68,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.69,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.70,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.71,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.72,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.73,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.74,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.75,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.76,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.77,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.78,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.79,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.80,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.81,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.82,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.83,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.84,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.85,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.86,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.87,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.88,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.89,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.90,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.91,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.92,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.93,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.94,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.95,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.96,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.97,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.98,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.99,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.00,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.01,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.02,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.03,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.04,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.05,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.06,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.07,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.08,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.09,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.10,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.11,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.12,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.13,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.14,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.15,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.16,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.17,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.18,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.19,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.20,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.21,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.22,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.23,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.24,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.25,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.26,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.27,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.28,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.29,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.30,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
